lake,time,depth_m,latitude,longitude,temperature_C,velocity_u_m_s,velocity_v_m_s,velocity_magnitude_m_s,velocity_direction_deg
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.36545,8.53921,15.903,0.02133,0.02008,0.02929462920058897,46.72900225033571
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.36602,8.54112,15.901,0.0284,0.01714,0.03317136717110104,58.88813145291317
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.36659,8.54303,15.902,,,,
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.36356,8.53816,15.903,0.02688,0.0147,0.030636977657725967,61.326853510565016
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.36413,8.54007,15.902,0.03107,0.01443,0.03425740503891093,65.08818807214766
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.3647,8.54198,15.9,0.02705,0.01273,0.02989574217175416,64.79785629400209
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.36526,8.54389,15.898,,,,
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.36165,8.5371,15.904,0.02734,0.01215,0.029918190119056335,66.03945549632017
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.36223,8.53902,15.902,0.03476,0.01356,0.037311274435483974,68.68906599399864
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.3628,8.54094,15.901,0.03375,0.0124,0.035955840971947796,69.82629398794934
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.36337,8.54285,15.899,0.02729,0.01016,0.029119919299338725,69.57982474242166
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.36394,8.54475,15.897,,,,
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.35974,8.53604,15.906,0.01656,0.01471,0.022149891647590514,48.3857941215899
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.36031,8.53797,15.903,0.02976,0.01448,0.033095739907124,64.05433852614013
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.36089,8.53989,15.901,0.03648,0.01209,0.0384312177793002,71.66405637515507
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.36146,8.54181,15.9,0.03494,0.01017,0.036390005496014975,73.77128513710937
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.36203,8.54371,15.898,0.02739,0.00785,0.028492711348694074,74.00764714812271
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.3626,8.54562,15.896,,,,
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.35839,8.53692,15.903,0.01776,0.01657,0.024289555368511795,46.98528077459665
